,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
297896,Q3104330,Gerry Day,screenwriter,Female,United States of America,Artist,1922,2013.0,natural causes,91.0
5916,Q63037,Klaas Carel Faber,Dutch collaborator,Male,Germany; Kingdom of the Netherlands,Criminal,1922,2012.0,natural causes,90.0
768162,Q15432012,Bob Greene,American pianist,Male,United States of America,Artist,1922,2013.0,natural causes,91.0
65420,Q442129,Eugenie Clark,American ichthyologist (1922–2015),Female,United States of America,Researcher,1922,2015.0,natural causes,93.0
393387,Q4497258,Josiah Henson,Olympic wrestler,Male,United States of America,Military personnel,1922,2012.0,natural causes,90.0
5840,Q62890,Gene Amdahl,American physicist,Male,United States of America,Researcher,1922,2015.0,natural causes,93.0
911878,Q19661229,Geoff Tootill,British engineer,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Researcher,1922,2017.0,natural causes,95.0
108234,Q827389,Pierre Daix,French writer (1922-2014),Male,France,Artist,1922,2014.0,natural causes,92.0
680190,Q11267083,Lee Hui-ho,First Lady of South Korea from 1998 to 2003,Female,South Korea,Politician,1922,2019.0,natural causes,97.0
838045,Q16796784,Ben Hoberman,xefe d'empresa estauxunidense (1922–2014),Male,United States of America,Business executive,1922,2014.0,natural causes,92.0
757961,Q14755026,Murray Gershenz,American actor (1922-2013),Male,United States of America,Artist,1922,2013.0,natural causes,91.0
80738,Q552641,Egon Balas,mathematician,Male,Romania,Researcher,1922,2019.0,natural causes,97.0
32211,Q129629,Tony Leblanc,"Spanish actor, director, and comedian (1922-2012)",Male,Spain,Athlete,1922,2012.0,natural causes,90.0
239090,Q2153294,Rina Lazo,Guatemalan-Mexican painter and muralist (1923-2019),Female,Guatemala,Artist,1923,2019.0,natural causes,96.0
620822,Q7611479,Sterling Tucker,American politician,Male,United States of America,Politician,1923,2019.0,natural causes,96.0
71585,Q476995,Henry Morgentaler,"Canadian champion of women's right to safe, legal abortion",Male,Canada; Poland,Physician,1923,2013.0,natural causes,90.0
4143,Q57410,Shimon Peres,Israeli politician who served as Prime Minister and then President of Israel (1923-2016),Male,Israel,Artist,1923,2016.0,natural causes,93.0
227451,Q1984421,Alexander Harvey II,United States federal judge,Male,United States of America,Judge,1923,2017.0,natural causes,94.0
374069,Q4121499,Ned Wertimer,American actor (1923-2013),Male,United States of America,Artist,1923,2013.0,accident,90.0
94312,Q702625,Marc Riboud,French photographer,Male,France,Artist,1923,2016.0,natural causes,93.0
1068615,Q41021083,Pierre Grelot,French student and partisan,Male,France,Student,1923,1943.0,capital punishment,20.0
630220,Q7818063,Tom Williams,volunteer in the Irish Republican Army,Male,Ireland,Activist,1923,1942.0,capital punishment,19.0
32350,Q131248,Lee Kuan Yew,1st Prime Minister of Singapore (1923-2015),Male,Singapore,Politician,1923,2015.0,natural causes,92.0
535090,Q6152433,Jane Kean,"American actress, singer and memoirist (1923-2013)",Female,United States of America,Artist,1923,2013.0,accident,90.0
764844,Q15143104,Maria Perego,Italian animation artist,Female,Italy,Author,1923,2019.0,natural causes,96.0
765474,Q15240457,Sid Yudain,journalist,Male,United States of America,Journalist,1923,2013.0,natural causes,90.0
3886,Q55834,Wojciech Jaruzelski,Polish military officer and politician (1923-2014),Male,Poland,Politician,1923,2014.0,natural causes,91.0
884062,Q18602833,Janet L. Norwood,American statistician,Female,United States of America,Businessperson,1923,2015.0,natural causes,92.0
416802,Q4887785,Bengt Blomgren,Actor and film director,Male,Sweden,Artist,1923,2013.0,natural causes,90.0
12551,Q78608,Carl Djerassi,"American chemistry professor, inventor, author, playwright",Male,United States of America; Austria; Bulgaria,Researcher,1923,2015.0,natural causes,92.0
616441,Q7512503,Sigmund Sobolewski,Polish activist,Male,Poland,Researcher,1923,2017.0,natural causes,94.0
320252,Q3290538,Joaquín Cordero,Mexican actor,Male,Mexico,Artist,1923,2013.0,natural causes,90.0
82979,Q568262,Richard Artschwager,American artist (1923-2013),Male,United States of America,Artist,1923,2013.0,natural causes,90.0
757919,Q14749248,John Nye,scientist,Male,United Kingdom,Researcher,1923,2019.0,natural causes,96.0
334062,Q3435918,Robert H. Michel,U.S. congressman from Illinois,Male,United States of America,Politician,1923,2017.0,natural causes,94.0
110200,Q868577,Helen Delich Bentley,American politician (1923-2016),Female,United States of America,Politician,1923,2016.0,natural causes,93.0
1202837,Q64995355,Russ Ewing,American journalist,Male,United States of America,Journalist,1923,2019.0,natural causes,96.0
395650,Q4538191,Alina Janowska,Polish actress,Female,Poland,Artist,1923,2017.0,natural causes,94.0
44253,Q269429,Mae Young,American professional wrestler,Female,United States of America,Professional wrestler; amateur wrestler,1923,2014.0,natural causes,91.0
299534,Q3121027,Gussie Moran,American tennis player,Female,United States of America,Athlete,1923,2013.0,natural causes,90.0
333257,Q3431782,Bob Elliott,American comedian (1923-2016),Male,United States of America,Artist,1923,2016.0,natural causes,93.0
608094,Q7351348,Robert Zildjian,Armenian-American businessman,Male,United States of America,Entrepreneur,1923,2013.0,natural causes,90.0
583195,Q6913527,Morrie Turner,African-American cartoonist,Male,United States of America,Artist,1923,2014.0,natural causes,91.0
98310,Q719973,Mort Walker,American comic strip cartoonist,Male,United States of America,Artist,1923,2018.0,natural causes,95.0
570652,Q6669612,Lon Simmons,American sports broadcaster,Male,United States of America,Athlete,1923,2015.0,natural causes,92.0
221681,Q1886966,Malcolm Boyd,American priest,Male,United States of America,Artist,1923,2015.0,natural causes,92.0
45665,Q278980,Akkineni Nageswara Rao,Indian film actor and producer,Male,India; British Raj,Artist,1923,2014.0,natural causes,91.0
40428,Q229062,Zoya Kosmodemyanskaya,Soviet resistance member of World War II and Heroine of the Soviet Union,Female,Soviet Union,Military personnel,1923,1941.0,capital punishment,18.0
222407,Q1896228,Maria Pacôme,French actress,Female,France,Artist,1923,2018.0,natural causes,95.0
574717,Q6759802,Margaret Pellegrini,American actress (1923-2013),Female,United States of America,Artist,1923,2013.0,natural causes,90.0
852869,Q17351310,Theo Elfrink,Dutch painter,Male,Kingdom of the Netherlands,Artist,1923,2014.0,accident,91.0
718091,Q11995291,Per Stranger-Thorsen,estudiante noruegu (1923–1944),Male,Norway,Student,1923,1944.0,capital punishment,21.0
526151,Q6105676,J. F. R. Jacob,"Soldier, statesman",Male,India; British Raj,Politician,1923,2016.0,natural causes,93.0
157684,Q1372953,James Karen,American actor (1923-2018),Male,United States of America,Artist,1923,2018.0,natural causes,95.0
340233,Q3557342,Victor Goldbloom,Canadian politician,Male,Canada,Politician,1923,2016.0,natural causes,93.0
572814,Q6707879,Lyle Bouck,US Army officer,Male,United States of America,Military personnel,1923,2016.0,natural causes,93.0
76876,Q525883,Ian Barbour,American academic,Male,United States of America,Researcher,1923,2013.0,natural causes,90.0
619160,Q7562582,Sonya Rapoport,American artist,Female,United States of America,Artist,1923,2015.0,natural causes,92.0
29876,Q121271,Mirko Ellis,Swiss actor (1923-2014),Male,Switzerland,Artist,1923,2014.0,accident,91.0
57307,Q359766,Adnan Pachachi,Iraqi politician (1923-2019),Male,Iraq; United Arab Emirates; Kingdom of Iraq; Republic of Iraq (1958–68),Politician,1923,2019.0,natural causes,96.0
463296,Q5407626,Eugene Patterson,journalist,Male,United States of America,Journalist,1923,2013.0,natural causes,90.0
69858,Q465447,André Courrèges,fashion designer,Male,France,Businessperson,1923,2016.0,natural causes,93.0
774260,Q15499702,Lou Richards,Australian rules footballer and commentator,Male,Australia,Athlete,1923,2017.0,natural causes,94.0
270754,Q2731624,Conrad Bain,"Canadian-American actor, personality, entertainer, and activist (1923-2013)",Male,Canada; United States of America,Artist,1923,2013.0,natural causes,90.0
63568,Q432316,Donald Sinden,English actor,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1923,2014.0,natural causes,91.0
248536,Q2363936,André Gernez,French physician,Male,France,Physician,1923,2014.0,natural causes,91.0
134710,Q1157865,Dale Robertson,American actor (1923-2013),Male,United States of America,Athlete,1923,2013.0,natural causes,90.0
252081,Q2423831,Marytė Melnikaitė,Soviet partisan and Heroine of the Soviet Union,Female,Lithuania; Soviet Union,Military personnel,1923,1943.0,unnatural death,20.0
821600,Q16334084,Eugenio Cruz Vargas,Chilean poet and painter,Male,Chile,Artist,1923,2014.0,natural causes,91.0
145453,Q1288702,Nada Dimić,Yugoslav partisan,Female,Kingdom of Yugoslavia,Military personnel,1923,1942.0,unnatural death,19.0
443655,Q5230870,David Aronson,American artist (1923-2015),Male,United States of America,Artist,1923,2015.0,natural causes,92.0
64423,Q436139,Harrison Dillard,American athlete,Male,United States of America,Athlete,1923,2019.0,natural causes,96.0
350240,Q3728614,Joy Laville,Mexican artist (1923-2018),Female,Mexico; United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1923,2018.0,natural causes,95.0
3473,Q51506,Richard Attenborough,"English actor, film director and producer (1923-2014)",Male,United Kingdom,Artist,1923,2014.0,natural causes,91.0
119651,Q965515,Lojze Grozde,Slovenian writer,Male,Kingdom of Yugoslavia,Artist,1923,1943.0,homicide,20.0
637713,Q7983375,Werner Drechsler,World War II German POW murdered by fellow POWs for informing,Male,United States of America,Military personnel,1923,1944.0,homicide,21.0
64530,Q436789,Diana Douglas,actress from Bermuda (1923-2015),Female,United States of America,Artist,1923,2015.0,natural causes,92.0
310995,Q3179042,Jimmy Evert,US tennis coach,Male,United States of America,Athlete,1923,2015.0,natural causes,92.0
120488,Q972239,Ivo Pitanguy,Brazilian surgeon,Male,Brazil,Researcher,1923,2016.0,natural causes,93.0
18716,Q94487,Rose Marie,"American actress, singer, comedian, and vaudeville performer (1923-2017)",Female,United States of America,Artist,1923,2017.0,natural causes,94.0
520442,Q6018296,Mirta Arlt,Argentinian writer,Female,Argentina,Artist,1923,2014.0,natural causes,91.0
69700,Q464753,Hjalmar Andersen,speed skater from Norway,Male,Norway,Athlete,1923,2013.0,accident,90.0
113856,Q908633,Donatas Banionis,Soviet and Lithuanian actor (1924-2014),Male,Lithuania; Soviet Union,Artist,1924,2014.0,natural causes,90.0
40498,Q230126,Dorothy Malone,American actress (1924-2018),Female,United States of America,Artist,1924,2018.0,natural causes,94.0
383955,Q4289342,Mariya Melentyeva,Hero of the Soviet Union,Female,Soviet Union,Military personnel,1924,1943.0,homicide,19.0
481403,Q5546652,George Zuverink,American baseball player,Male,United States of America,Athlete,1924,2014.0,natural causes,90.0
57562,Q361139,Wendell H. Ford,American politician (1924-2015),Male,United States of America,Politician,1924,2015.0,natural causes,91.0
36173,Q180602,Machiko Kyō,Japanese actress,Female,Japan,Artist,1924,2019.0,natural causes,95.0
1493,Q23505,George H. W. Bush,41st president of the United States (1924-2018),Male,United States of America,Politician,1924,2018.0,natural causes,94.0
223202,Q1906753,Masaru Kawasaki,"Japanese composer, conductor and musicologist",Male,Japan,Artist,1924,2018.0,natural causes,94.0
112658,Q888937,Brendan Byrne,American politician and prosecutor (1924-2018),Male,United States of America,Politician,1924,2018.0,natural causes,94.0
716821,Q11979150,John Hatland,Norwegian resistance fighter,Male,Norway,Student,1924,1944.0,capital punishment,20.0
862006,Q17624242,Carlos Enrique Gómez Centurión,Argentinian politician,Male,Argentina,Researcher,1924,2018.0,natural causes,94.0
494585,Q5675587,Harue Akagi,Japanese actress,Female,Japan,Artist,1924,2018.0,natural causes,94.0
1021530,Q26857910,Greta Zimmer Friedman,Austrian-born American woman in iconic photo,Female,United States of America,Artist,1924,2016.0,natural causes,92.0
412186,Q4798795,Arthur Gelb,American journalist and editor,Male,United States of America,Journalist,1924,2014.0,natural causes,90.0
343088,Q3592794,Évelyne Sullerot,French feminist,Female,France,Artist,1924,2017.0,natural causes,93.0
481504,Q5547079,Georgette Bauerdorf,"Heiress, murder victim",Female,United States of America,Socialite,1924,1944.0,homicide,20.0
577300,Q6779661,Mary Grace Canfield,"American theatre, film and television actress (1924-2014)",Female,United States of America,Artist,1924,2014.0,natural causes,90.0
1155567,Q56759884,Jean de Menthon,French official and resistance fighter,,France,Official,1924,2018.0,suicide,94.0
219720,Q1869869,Lord Burgess,American musician,Male,United States of America,Artist,1924,2019.0,natural causes,95.0
1203825,Q65163622,Peggy O'Neill,American actress (1924-1945),,United States of America,Artist,1924,1945.0,suicide,21.0
42920,Q256809,Alice Babs,Swedish jazz and schlager singer,Female,Sweden,Artist,1924,2014.0,natural causes,90.0
333690,Q3434950,Robert Després,Canadian businessman,Male,Canada,Businessperson,1924,2016.0,natural causes,92.0
3262,Q48765,Stanley Donen,American film director and choreographer,Male,United States of America,Artist,1924,2019.0,natural causes,95.0
43724,Q264730,Gloria Vanderbilt,"American businesswoman, fashion designer, socialite and writer (1924-2019)",Female,United States of America,Artist,1924,2019.0,natural causes,95.0
594859,Q7177900,Peter de Rome,"American writer, photographer and director of gay-themed, erotic films",Male,United States of America; France,Artist,1924,2014.0,natural causes,90.0
43776,Q265293,"James W. McCord, Jr.",Member of Watergate scandal: break-in team member,Male,United States of America,Spy,1924,2017.0,natural causes,93.0
389647,Q4407057,Zinaida Samsonova,Hero of the Soviet Union,Female,Soviet Union,Military personnel,1924,1944.0,homicide,20.0
26288,Q110048,Hedy Epstein,American activist,Female,United States of America; Germany,Artist,1924,2016.0,natural causes,92.0
19844,Q96739,Walter Klingenbeck,"German mechanic, resistance fighter and martyr",Male,Germany,Mechanic; resistance fighter; martyr,1924,1943.0,capital punishment,19.0
159785,Q1387828,Russell Johnson,American television and film actor,Male,United States of America,Artist,1924,2014.0,natural causes,90.0
360569,Q3839436,Luigi Cappello,partizaan uit Koninkrijk Italië (1924-1945),Male,Kingdom of Italy,Partisan,1924,1945.0,suicide,21.0
64114,Q434669,Phyllis Schlafly,American activist (1924-2016),Female,United States of America,Artist,1924,2016.0,natural causes,92.0
35813,Q176679,Henry Sy,Chinese businessman,Male,Philippines,Businessperson,1924,2019.0,natural causes,95.0
300280,Q3125879,Hal Douglas,American actor,Male,United States of America,Artist,1924,2014.0,natural causes,90.0
305151,Q3160088,Jacques Thébault,French actor,Male,France,Artist,1924,2015.0,natural causes,91.0
584004,Q6948579,Myrtle Allen,"Irish chef, teacher and writer",Female,Ireland,Chef,1924,2018.0,natural causes,94.0
112497,Q888277,Bob Symes,British television presenter,Male,United Kingdom,Journalist,1924,2015.0,natural causes,91.0
217946,Q1817229,Len Terry,British motorsport designer and engineer,Male,United Kingdom,Engineer,1924,2014.0,natural causes,90.0
45143,Q274763,Selma Meerbaum-Eisinger,German language lyricist and Holocaust victim,Female,Germany,Artist,1924,1942.0,natural causes,18.0
28855,Q118250,Alphons Egli,member of the Swiss Federal Council (1924-2016),Male,Switzerland,Politician,1924,2016.0,natural causes,92.0
78967,Q540874,Robert A. Roe,American politician (1924-2014),Male,United States of America,Politician,1924,2014.0,natural causes,90.0
91941,Q678703,Armando Peraza,Cuban percussionist,Male,Cuba,Artist,1924,2014.0,natural causes,90.0
49929,Q318636,Neville Marriner,British conductor and violinist (1924–2016),Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1924,2016.0,natural causes,92.0
23490,Q104000,Lauren Bacall,American actress and model,Female,United States of America,Artist,1924,2014.0,natural causes,90.0
8222,Q69430,Peter Scholl-Latour,journalist and author,Male,France; Germany,Artist,1924,2014.0,natural causes,90.0
631540,Q7855005,Turk Lown,American baseball player,Male,United States of America,Athlete,1924,2016.0,natural causes,92.0
375864,Q4150230,Ulyana Gromova,1942—1943 йй. Бөйөк Ватан һуғышы осоронда Украин ССР-ы Ворошиловград өлкәһе Краснодон ҡалаһы «Йәш гвардия» йәшерен антифашистик комсомол ойошмаһы штабы ағзаһы. Советтар Союзы Геройы.,Female,Soviet Union,Political activist,1924,1943.0,unnatural death,19.0
817261,Q16197828,Mary Feik,American aviator,Female,United States of America,Military personnel,1924,2016.0,natural causes,92.0
427397,Q4984912,Buddy MacMaster,Canadian musician,Male,Canada,Artist,1924,2014.0,natural causes,90.0
1065021,Q38459503,Jerry Yellin,United States Army Air Forces officer,Male,United States of America,Fighter pilot,1924,2017.0,natural causes,93.0
516588,Q5972648,Ye Xuanping,"former Governor of Guangdong and Mayor of Guangzhou, son of Marshal Ye Jianying",Male,People's Republic of China; Republic of China (1912–1949),Politician,1924,2019.0,natural causes,95.0
240613,Q2166268,Alojz Rebula,Slovenian writer,Male,Italy; Slovenia; Socialist Federal Republic of Yugoslavia; Kingdom of Italy; Free Territory of Trieste,Researcher,1924,2018.0,natural causes,94.0
150346,Q1332423,Rolando Panerai,Italian opera singer,Male,Italy,Artist,1924,2019.0,natural causes,95.0
270930,Q2735531,Nina Cassian,Romanian writer,Female,United States of America; Romania,Researcher,1924,2014.0,natural causes,90.0
868,Q10707,Robert Mugabe,2nd President of Zimbabwe (1924-2019),Male,Zimbabwe,Politician,1924,2019.0,natural causes,95.0
915387,Q19799257,Sam Cathcart,American gridiron football player (1924-2015),Male,United States of America,Athlete,1924,2015.0,natural causes,91.0
4098,Q57298,Abdullah of Saudi Arabia,former King of Saudi Arabia (1924-2015),Male,Saudi Arabia,Politician,1924,2015.0,natural causes,91.0
57121,Q358529,Giovanni Sartori,Italian journalist and political scientist,Male,Italy; Kingdom of Italy,Researcher,1924,2017.0,natural causes,93.0
74198,Q506361,Konstantinos Koukidis,Greek military personnel,Male,Greece,Military personnel,1924,1941.0,suicide,17.0
36175,Q180626,Jin Yong,Hong Kong writer,Male,People's Republic of China,Artist,1924,2018.0,natural causes,94.0
149692,Q1326536,Qiao Shi,former Politburo Standing Committee member of the Communist Party of China (1924-2015),Male,People's Republic of China,Politician,1924,2015.0,natural causes,91.0
38731,Q214110,David Rubinger,Israeli photojournalist and photographer,Male,Austria; Israel,Artist,1924,2017.0,natural causes,93.0
152269,Q1343823,Joseph Campanella,American character actor (1924-2018),Male,United States of America,Artist,1924,2018.0,natural causes,94.0
813038,Q16089983,Bernard Spitzer,American businessman and philanthropist,Male,United States of America,Engineer,1924,2014.0,natural causes,90.0
1068616,Q41021089,Lucien Legros,French student and partisan,Male,France,Student,1924,1943.0,capital punishment,19.0
689345,Q11523877,Mitsuo Higashinaka,Japanese lawyer and politician,Male,Japan,Politician,1924,2014.0,natural causes,90.0
57240,Q359366,Daniel Akaka,"American politician, former U.S. Senator from Hawaii (1924-2018)",Male,United States of America,Politician,1924,2018.0,natural causes,94.0
566204,Q6504225,Lawrence Jenkins,United States Army Air Force pilot and prisoner of war,Male,United States of America,Military personnel,1924,2017.0,natural causes,93.0
535688,Q6165390,Javid Iqbal,British Indian,Male,Pakistan; British Raj,Judge,1924,2015.0,natural causes,91.0
153864,Q1354159,Johnny Bower,Canadian ice hockey player,Male,Canada,Athlete,1924,2017.0,natural causes,93.0
226793,Q1970649,Richard Bull,"American film, stage and television actor (1924-2014)",Male,United States of America,Artist,1924,2014.0,natural causes,90.0
822526,Q16363710,Margarita Tutulani,Anti-fascist martyr of Albania,Female,Albania,Politician,1925,1943.0,homicide,18.0
117309,Q945936,Roger Hanin,French and Algerian film actor/director (1925-2015),Male,France,Artist,1925,2015.0,natural causes,90.0
1068612,Q41021064,Jean-Marie Arthus,French student and partisan,Male,France,Student,1925,1943.0,capital punishment,18.0
302733,Q3138894,José Sazatornil,Spanish actor,Male,Spain,Artist,1925,2015.0,natural causes,90.0
58714,Q364724,Morgan Woodward,American actor (1925-2019),Male,United States of America,Artist,1925,2019.0,natural causes,94.0
465151,Q5445006,Fernando de Szyszlo,Peruvian painter (1925-2017),Male,Zimbabwe,Artist,1925,2017.0,capital punishment,92.0
582280,Q6861185,Milton J. Rosenberg,American psychologist and radio host,Male,United States of America,Radio personality,1925,2018.0,natural causes,93.0
126318,Q1046993,Károly Makk,film director (1925-2017),Male,Hungary,Artist,1925,2017.0,natural causes,92.0
56438,Q353866,Jean d'Ormesson,French novelist,Male,France,Artist,1925,2017.0,natural causes,92.0
264682,Q2620610,Shelley Berman,"American comedian, actor, writer, and teacher (1925–2017)",Male,United States of America,Artist,1925,2017.0,natural causes,92.0
398471,Q4681893,Adele Morales,American writer (1925-2015),Female,United States of America,Artist,1925,2015.0,natural causes,90.0
236416,Q2096791,Zhores Medvedev,Russian biologist,Male,Russia; Soviet Union,Researcher,1925,2018.0,natural causes,93.0
111497,Q881361,Dale Bumpers,American politician (1925-2016),Male,United States of America,Politician,1925,2016.0,natural causes,91.0
682302,Q11373611,Isamu Imoto,Japanese politician,Male,Japan,Politician,1925,2018.0,natural causes,93.0
602769,Q7328306,Richard Paul Conaboy,United States federal judge,Male,United States of America,Judge,1925,2018.0,natural causes,93.0
336368,Q3473784,Sasha Filippov,Russian spy,Male,Soviet Union,Spy,1925,1942.0,capital punishment,17.0
536530,Q6171213,Jean Mohr,Swiss photographer (1925-2018),Male,Switzerland,Artist,1925,2018.0,natural causes,93.0
403890,Q4722583,Alfred E. Mann,American businessman,Male,United States of America,Entrepreneur,1925,2016.0,natural causes,91.0
397158,Q4661882,Masahide Ōta,Japanese scholar and politician,Male,Japan,Politician,1925,2017.0,natural causes,92.0
42180,Q248893,Ananda Mahidol,eighth monarch of Siam from the Chakri dynasty as Rama VIII,Male,Thailand,Politician,1925,1946.0,homicide,21.0
236033,Q2092878,Piero Livi,Italian film director and screenwriter,Male,Italy; Kingdom of Italy,Artist,1925,2015.0,natural causes,90.0
112578,Q888568,Bobby Hutchins,film actor (1925-1945),Male,United States of America,Artist,1925,1945.0,accident,20.0
462209,Q5394883,Kaye Ballard,"American actress, singer (1925-2019)",Female,United States of America,Artist,1925,2019.0,natural causes,94.0
66139,Q446086,Jack McCloskey,American basketball player and coach,Male,United States of America,Athlete,1925,2017.0,natural causes,92.0
91556,Q674048,Vladimir Shainsky,Soviet and Russian composer,Male,Russia; Israel; Soviet Union,Artist,1925,2017.0,natural causes,92.0
114924,Q923688,Ángel Peralta Pineda,Spanish torero,Male,Spain,Artist,1925,2018.0,natural causes,93.0
36845,Q188969,B. B. King,"American blues musician, singer, songwriter, and guitarist (1925-2015)",Male,United States of America,Artist,1925,2015.0,natural causes,90.0
226278,Q1961122,Eliyahu Hakim,Member of Lehi,Male,Lebanon; Mandatory Palestine,Military personnel,1925,1945.0,capital punishment,20.0
36934,Q190628,Barbara Bush,former First Lady of the United States (1925-2018),Female,United States of America,Politician,1925,2018.0,natural causes,93.0
768822,Q15435114,John Gordon,English writer of supernatural fiction,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1925,2017.0,natural causes,92.0
224565,Q1922021,Merrill Heatter,American screenwriter and producer (1925-2017),Male,United States of America,Artist,1925,2017.0,natural causes,92.0
47467,Q298818,George Kennedy,American actor (1925-2016),Male,United States of America,Artist,1925,2016.0,natural causes,91.0
68987,Q460756,Maya Plisetskaya,Russian ballet dancer,Female,Spain; Lithuania; Russia; Germany; Soviet Union,Artist,1925,2015.0,natural causes,90.0
248852,Q2370173,Alexander Chekalin,Soviet partisan,Male,Soviet Union,Military personnel,1925,1941.0,capital punishment,16.0
121634,Q981270,Serge Dassault,French businessman and politician (1925-2018),Male,France,Politician,1925,2018.0,natural causes,93.0
10499,Q75062,Maria Barroso,Portuguese actress (1925-2015),Female,Portugal,Artist,1925,2015.0,natural causes,90.0
689484,Q11529785,Zenzo Matsuyama,Filmdirector and screenwriter,Male,Japan,Artist,1925,2016.0,natural causes,91.0
362321,Q3850056,Martin E. Brooks,American actor,Male,United States of America,Artist,1925,2015.0,natural causes,90.0
45523,Q277282,Lepa Radić,Serbian communist partisan,Female,Kingdom of Yugoslavia,Military personnel,1925,1943.0,capital punishment,18.0
122189,Q983528,Louis Stokes,American politician (1925-2015),Male,United States of America,Politician,1925,2015.0,natural causes,90.0
630426,Q7819442,Tommy Giordano,American baseball player,Male,United States of America,Athlete,1925,2019.0,natural causes,94.0
424498,Q4954884,Bradley Bolke,American actor,Male,United States of America,Artist,1925,2019.0,natural causes,94.0
53645,Q334219,Andrea Camilleri,Italian writer,Male,Italy,Artist,1925,2019.0,natural causes,94.0
99615,Q727086,Hugh O'Brian,American actor and United States Marine,Male,United States of America,Artist,1925,2016.0,natural causes,91.0
68227,Q456611,Asunción Balaguer,actress,Female,Spain,Artist,1925,2019.0,natural causes,94.0
84280,Q582996,Mike Connors,American actor (1925-2017),Male,United States of America,Artist,1925,2017.0,natural causes,92.0
238104,Q2142532,Eugene Garfield,information and library scientist,Male,United States of America,Researcher,1925,2017.0,natural causes,92.0
365505,Q3928578,Rachelina Ambrosini,Italian teenager who is venerated by the Roman Catholic Church,Female,Kingdom of Italy,Artist,1925,1941.0,natural causes,16.0
1068614,Q41021076,Pierre Benoit,French student and partisan,Male,France,Student,1925,1943.0,capital punishment,18.0
708504,Q11855371,Claire Aho,Finnish photographer,Female,Finland,Artist,1925,2015.0,accident,90.0
200852,Q1687749,"Jerome Kohlberg, Jr.",American businessman,Male,United States of America,Businessperson,1925,2015.0,natural causes,90.0
974687,Q21598045,Mary E. White,Australian paleobotanist and author (1926-2018),Female,Australia,Researcher,1926,2018.0,homicide,92.0
6031,Q63328,Rudi Gutendorf,German football manager (1926-2019),Male,Germany,Athlete,1926,2019.0,natural causes,93.0
710038,Q11865615,Jack Mendelsohn,American writer and artist,Male,United States of America,Artist,1926,2017.0,natural causes,91.0
816102,Q16175111,Kim Bok-dong,South Korean activist,Female,South Korea,Human rights activist; activist; former comfort women,1926,2019.0,natural causes,93.0
37139,Q194280,Hugh Hefner,American businessman and magazine publisher (1926-2017),Male,United States of America,Artist,1926,2017.0,natural causes,91.0
813193,Q16090460,Christopher Winn,English rugby union footballer and cricketer (1926-2017),Male,United Kingdom; United Kingdom of Great Britain and Ireland,Athlete,1926,2017.0,natural causes,91.0
1083213,Q46753898,Elmo Valencia,"novelista, ensayista y poeta colombianu (1926-2017)",,Colombia,Artist,1926,2017.0,suicide,91.0
1039595,Q28561480,Stan Kowalski,American professional wrestler,Male,United States of America,Professional wrestler,1926,2017.0,natural causes,91.0
468,Q5921,Chuck Berry,"American singer, songwriter and guitarist",Male,United States of America,Artist,1926,2017.0,natural causes,91.0
654682,Q9119045,Wu Zhaonan,Taiwanese xiangsheng comedian,Male,Taiwan; Republic of China (1912–1949),Artist,1926,2018.0,natural causes,92.0
773578,Q15485098,Michael William Feast,British astronomer,Male,United Kingdom,Astronomer,1926,2019.0,natural causes,93.0
573,Q7339,Margot Frank,older sister of Anne Frank,Female,Kingdom of the Netherlands; Weimar Republic,Student,1926,1945.0,homicide; natural causes,19.0
40132,Q221697,Hilary Putnam,American philosopher,Male,United States of America,Researcher,1926,2016.0,natural causes,90.0
39822,Q216932,Ingvar Kamprad,Swedish business magnate,Male,Sweden,Businessperson,1926,2018.0,natural causes,92.0
1022030,Q26923441,André Tridon Jagendorf,Plant physiologist,Male,United States of America,Plant physiology,1926,2017.0,natural causes,91.0
18318,Q92625,Fernando J. Corbató,American computer scientist,Male,United States of America,Researcher,1926,2019.0,natural causes,93.0
707,Q8159,Paul Bocuse,French chef,Male,France,Businessperson,1926,2018.0,natural causes,92.0
631017,Q7823498,Tony Streather,English mountain climber,Male,United Kingdom,Military personnel,1926,2018.0,natural causes,92.0
60089,Q372519,John Spellman,US politician (1926-2018),Male,United States of America,Politician,1926,2018.0,natural causes,92.0
112422,Q888064,Miguel Obando y Bravo,Catholic cardinal,Male,Nicaragua,Religious figure,1926,2018.0,natural causes,92.0
435930,Q5083994,Charles Zwick,American civil servant,Male,United States of America,Businessperson,1926,2018.0,natural causes,92.0
70204,Q467077,Efraín Ríos Montt,"former de facto President of Guatemala, army general, genocida and former president of Congress (1926-2018)",Male,Guatemala,Politician,1926,2018.0,natural causes,92.0
226091,Q1958666,Zinaida Portnova,Soviet partisan,Female,Soviet Union,Partisan; resistance fighter,1926,1944.0,capital punishment; unnatural death,18.0
101026,Q738521,Frank Finlay,English actor,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1926,2016.0,natural causes,90.0
